"Period","month","completed","Treatment.Function.Code","Total.All"
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_170",1470
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_300",1518
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_301",10513
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_320",6247
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_330",5056
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_340",1009
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_400",536
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_410",1037
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_430",258
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_502",8880
"RTT-AUGUST-2020",2020-08-01,"Completed Pathways For Admitted Patients","C_999",156735
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_100",22450
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_110",30322
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_120",8454
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_130",37394
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_140",7671
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_150",1836
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_160",8608
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_170",1669
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_300",1738
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_301",13380
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_320",7639
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_330",6482
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_340",1223
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_400",621
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_410",1248
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_430",254
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_502",11984
"RTT-SEPTEMBER-2020",2020-09-01,"Completed Pathways For Admitted Patients","C_999",210856
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_100",25119
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_110",34342
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_120",9593
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_130",40296
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_140",9403
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_150",1904
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_160",9542
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_170",1610
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_300",1615
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_301",14894
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_320",8017
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_330",6592
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_340",1359
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_400",586
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_410",1344
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_430",281
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_502",13396
"RTT-OCTOBER-2020",2020-10-01,"Completed Pathways For Admitted Patients","C_999",233757
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_100",23582
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_110",30909
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_120",8777
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_130",40045
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_140",9050
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_150",1857
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_160",9189
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_170",1439
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_300",1657
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_301",14956
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_320",7630
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_330",6970
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_340",1255
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_400",564
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_410",1218
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_430",245
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_502",12554
"RTT-NOVEMBER-2020",2020-11-01,"Completed Pathways For Admitted Patients","C_999",224024
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_100",20173
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_110",26029
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_120",7048
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_130",34079
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_140",7738
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_150",1720
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_160",8254
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_170",1219
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_300",1565
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_301",13167
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_320",6453
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_330",6117
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_340",1225
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_400",541
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_410",955
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_430",230
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_502",10625
"RTT-DECEMBER-2020",2020-12-01,"Completed Pathways For Admitted Patients","C_999",192630
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_100",15293
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_110",15523
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_120",3911
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_130",24163
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_140",5628
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_150",1138
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_160",6460
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_170",872
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_300",1414
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_301",12312
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_320",4908
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_330",5891
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_340",954
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_400",442
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_410",716
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_430",189
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_502",6820
"RTT-JANUARY-2021",2021-01-01,"Completed Pathways For Admitted Patients","C_999",140071
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_100",17324
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_110",16881
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_120",4349
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_130",26214
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_140",5889
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_150",1215
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_160",7598
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_170",957
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_300",1496
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_301",13509
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_320",5804
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_330",5923
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_340",938
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_400",427
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_410",698
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_430",238
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_502",7697
"RTT-FEBRUARY-2021",2021-02-01,"Completed Pathways For Admitted Patients","C_999",153322
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_100",24088
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_110",28707
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_120",7294
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_130",40253
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_140",8504
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_150",1826
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_160",10164
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_170",1453
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_300",1903
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_301",16281
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_320",7939
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_330",7290
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_340",1320
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_400",568
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_410",1058
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_430",294
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_502",11245
"RTT-MARCH-2021",2021-03-01,"Completed Pathways For Admitted Patients","C_999",221391
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_100",21463
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_110",34307
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_120",8280
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_130",41387
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_140",9966
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_150",1982
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_160",9412
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_170",1746
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_300",1767
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_301",14993
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_320",7274
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_330",6712
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_340",1259
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_400",575
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_410",1046
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_430",489
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_502",11652
"RTT-APRIL-2021",2021-04-01,"Completed Pathways For Admitted Patients","C_999",224667
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_100",23431
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_110",38782
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_120",9390
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_130",43548
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_140",10954
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_150",2197
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_160",9555
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_170",1824
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_300",1841
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_301",15857
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_320",7743
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_330",7156
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_340",1335
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_400",540
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_410",1081
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_430",329
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_502",12520
"RTT-MAY-2021",2021-05-01,"Completed Pathways For Admitted Patients","C_999",243815
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_100",26234
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_110",43893
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_120",10969
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_130",50101
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_140",12078
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_150",2403
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_160",11080
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_170",2021
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_300",2951
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_301",17743
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_320",8686
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_330",8201
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_340",1486
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_400",689
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_410",1322
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_430",374
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_502",14368
"RTT-JUNE-2021",2021-06-01,"Completed Pathways For Admitted Patients","C_999",276999
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_100",24558
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_110",40943
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_120",10009
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_130",47671
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_140",11418
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_150",2118
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_160",10482
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_170",1748
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_300",2929
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_301",16594
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_320",8346
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_330",8098
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_340",1364
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_400",613
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_410",1184
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_430",365
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_502",13690
"RTT-JULY-2021",2021-07-01,"Completed Pathways For Admitted Patients","C_999",261067
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_100",22001
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_110",35182
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_120",8630
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_130",43726
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_140",10119
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_150",1975
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_160",9471
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_170",1589
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_300",2266
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_301",15635
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_320",7223
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_330",7318
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_340",1364
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_400",527
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_410",1146
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_430",311
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_502",11982
"RTT-AUGUST-2021",2021-08-01,"Completed Pathways For Admitted Patients","C_999",233522
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_100",23383
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_110",38742
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_120",9500
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_130",48332
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_140",10443
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_150",2030
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_160",10129
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_170",1593
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_300",2323
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_301",17004
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_320",8272
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_330",7918
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_340",1416
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_400",630
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_410",1157
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_430",328
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_502",13423
"RTT-SEPTEMBER-2021",2021-09-01,"Completed Pathways For Admitted Patients","C_999",253907
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_100",23728
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_110",38633
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_120",9523
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_130",48327
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_140",11047
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_150",2154
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_160",9927
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_170",1588
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_300",2096
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_301",17903
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_320",8075
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_330",8526
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_340",1446
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_400",652
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_410",1005
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_430",604
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_502",13469
"RTT-OCTOBER-2021",2021-10-01,"Completed Pathways For Admitted Patients","C_999",255611
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_100",24981
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_110",42549
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_120",10731
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_130",52444
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_140",12374
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_150",2226
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_160",11131
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_170",1750
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_300",2220
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_301",18441
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_320",8644
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_330",9312
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_340",1497
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_400",669
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_410",1039
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_430",563
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_502",14559
"RTT-NOVEMBER-2021",2021-11-01,"Completed Pathways For Admitted Patients","C_999",277092
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_100",21224
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_110",33483
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_120",8660
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_130",40911
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_140",8860
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_150",1700
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_160",9698
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_170",1246
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_300",2522
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_301",15408
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_320",6863
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_330",7366
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_340",1381
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_400",805
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_410",1002
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_430",506
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_502",11857
"RTT-DECEMBER-2021",2021-12-01,"Completed Pathways For Admitted Patients","C_999",226223
"RTT-JANUARY-2022",2022-01-01,"Completed Pathways For Admitted Patients","C_100",20685
"RTT-JANUARY-2022",2022-01-01,"Completed Pathways For Admitted Patients","C_110",32162
"RTT-JANUARY-2022",2022-01-01,"Completed Pathways For Admitted Patients","C_120",8378
"RTT-JANUARY-2022",2022-01-01,"Completed Pathways For Admitted Patients","C_130",44012
"RTT-JANUARY-2022",2022-01-01,"Completed Pathways For Admitted Patients","C_140",9916
"RTT-JANUARY-2022",2022-01-01,"Completed Pathways For Admitted Patients","C_150",1694
"RTT-JANUARY-2022",2022-01-01,"Completed Pathways For Admitted Patients","C_160",9800
"RTT-JANUARY-2022",2022-01-01,"Completed Pathways For Admitted Patients","C_170",1589
